procedure,subgroup,n,mae_mg_week,rmse_mg_week,r2,pw20,suppressed_n_lt_30,subgroup_type
training_mean,G/G,1162,15.682710769369862,22.303116702239837,-0.3844071151142938,0.3253012048192771,False,vkorc1
training_mean,Unknown,1444,11.826833157294443,15.591157623867131,-0.016076484636958766,0.3365650969529086,False,vkorc1
training_median,A/A,1433,10.702163293789253,12.50073986365885,-1.037318622567304,0.22958827634333567,False,vkorc1
training_median,A/G,1371,10.489091382823139,15.962771404519085,-0.040197762271163784,0.40554339897884756,False,vkorc1
training_median,G/G,1162,17.130225842730315,23.858687430248075,-0.5842576178439796,0.3046471600688468,False,vkorc1
training_median,Unknown,1444,11.85246972770374,16.141771168902167,-0.08911075990409434,0.36634349030470914,False,vkorc1
clinical_ml,high,688,24.897487875210896,31.08178049015602,-1.9172362862776824,0.14534883720930233,False,dose_category
clinical_ml,intermediate,2936,7.109714204400502,9.05179758445559,-0.6731068420038882,0.5435967302452316,False,dose_category
clinical_ml,low,1786,13.973517335978848,15.828004910902926,-11.764706194772618,0.07894736842105263,False,dose_category
fixed_35_mg_week,high,688,27.73584302325581,33.172861495891205,-2.3229644862649397,0.0,False,dose_category
fixed_35_mg_week,intermediate,2936,6.139805907802945,7.288458641758141,-0.08473935075022121,0.5466621253405994,False,dose_category
fixed_35_mg_week,low,1786,19.29956486931573,19.801506106431777,-18.97813385000659,0.0,False,dose_category
iwpc_clinical,high,570,24.695151159537215,31.212427651180505,-1.692429612180948,0.14210526315789473,False,dose_category
iwpc_clinical,intermediate,2360,6.9336859143294465,8.777931154471666,-0.556397910605628,0.5444915254237288,False,dose_category
iwpc_clinical,low,1372,9.159201960564976,11.343290527535197,-5.691308776640587,0.239067055393586,False,dose_category
iwpc_pharmacogenetic,high,570,19.917694024635516,27.324679103544334,-1.0634759038166184,0.3105263157894737,False,dose_category
iwpc_pharmacogenetic,intermediate,2360,6.680941670133131,8.4423364263556,-0.4396655350164924,0.5597457627118644,False,dose_category
iwpc_pharmacogenetic,low,1372,7.352609631158047,9.738177845679978,-3.931605901732932,0.32653061224489793,False,dose_category
pharmacogenomic_ml,high,688,20.30895725345907,27.367480135136763,-1.2616711177989242,0.29505813953488375,False,dose_category
pharmacogenomic_ml,intermediate,2936,7.26777697696454,9.165187760947953,-0.7152867810674408,0.5408719346049047,False,dose_category
pharmacogenomic_ml,low,1786,9.231886341256946,11.635321377112447,-5.897873683432587,0.24020156774916013,False,dose_category
training_mean,high,688,31.886158965190294,36.73636687073124,-3.0752310442854487,0.0,False,dose_category
training_mean,intermediate,2936,6.138993939679939,7.391938851404864,-0.11575987424266954,0.5868528610354223,False,dose_category
training_mean,low,1786,16.030698548103047,16.70094866818208,-13.21152727119819,0.0,False,dose_category
training_median,high,688,34.69805232558139,39.18748712028274,-3.637187535437781,0.0,False,dose_category
training_median,intermediate,2936,6.713811357394226,8.574555339801632,-0.5013336646678319,0.6021798365122616,False,dose_category
training_median,low,1786,12.963618620715508,13.76855735082427,-8.659070729105942,0.0,False,dose_category
